# Word-specific describer hints: english|hint_en|hint_ar
# Words not listed here fall back to their category hint.
Spleen|Organ near the stomach that filters blood.|عضو قرب المعدة يصفي الدم.
Gallbladder|Small sac under the liver storing bile.|كيس صغير تحت الكبد يخزن الصفراء.
Appendix|Small useless organ doctors often remove.|عضو صغير بلا فائدة يستأصله الأطباء غالبا.
Intestine|Long twisted tube where food is digested.|أنبوب طويل ملتوٍ يهضم فيه الطعام.
Cerebellum|Back part of the brain controlling balance.|الجزء الخلفي من الدماغ يتحكم بالتوازن.
Cortex|The outer thinking layer of the brain.|الطبقة الخارجية المفكرة من الدماغ.
Latitude|Imaginary lines circling the Earth sideways.|خطوط وهمية تطوق الأرض بالعرض.
Altitude|How high a place is above the sea.|ارتفاع المكان عن سطح البحر.
Meridian|Line from the North Pole to the South Pole.|خط من القطب الشمالي إلى الجنوبي.
Hemisphere|Half of the Earth, north or south.|نصف الكرة الأرضية شمالا أو جنوبا.
Tributary|Small river feeding into a bigger one.|نهر صغير يصب في نهر أكبر.
Estuary|Where the river's fresh water meets the salty sea.|حيث يلتقي ماء النهر العذب بملح البحر.
Fjord|Narrow sea inlet between high cliffs.|لسان بحري ضيق بين جروف عالية.
Isthmus|Narrow strip of land connecting two lands.|شريط أرض ضيق يصل يابستين.
Tundra|Frozen treeless land of the far north.|أرض متجمدة بلا أشجار في أقصى الشمال.
Savanna|African grassland with few trees where lions live.|سهل عشبي أفريقي بأشجار قليلة تعيش فيه الأسود.
Steppe|Vast dry grassland with no trees.|سهل عشبي شاسع جاف بلا أشجار.
Basin|Land area drained by one river.|منطقة أرض يصرفها نهر واحد.
Watershed|The line separating two river systems.|الخط الفاصل بين حوضي نهرين.
Crater|Round hole left by a volcano or meteor.|فوهة مستديرة يخلفها بركان أو نيزك.
Fault|Crack in the Earth where earthquakes start.|شق في الأرض تبدأ منه الزلازل.
Universe|Everything that exists: space, stars and us.|كل ما هو موجود: الفضاء والنجوم ونحن.
Quasar|The brightest object in the far universe.|ألمع جسم في أطراف الكون.
Pulsar|Dead star flashing like a lighthouse.|نجم ميت يومض كالمنارة.
Solar system|The sun and everything orbiting it.|الشمس وكل ما يدور حولها.
Light year|The distance light travels in one year.|المسافة التي يقطعها الضوء في سنة.
Space station|Home where astronauts live orbiting Earth.|بيت يعيش فيه الرواد وهو يدور حول الأرض.
Probe|Unmanned machine exploring far planets.|جهاز بلا طاقم يستكشف الكواكب البعيدة.
Rover|Robot car driving on Mars.|سيارة روبوتية تسير على المريخ.
Milky Way|The galaxy our sun lives in.|المجرة التي تعيش فيها شمسنا.
Dwarf planet|Small planet like Pluto.|كوكب صغير مثل بلوتو.
Solar flare|Explosion of energy from the sun's surface.|انفجار طاقة من سطح الشمس.
Zodiac|The twelve star signs people read about.|الأبراج الاثنا عشر التي يقرأ عنها الناس.
Atmosphere|The blanket of air wrapping the Earth.|غلاف الهواء الذي يلف الأرض.
Stratosphere|High layer of air where planes fly.|طبقة الهواء العالية حيث تطير الطائرات.
Aurora|Dancing colored lights in polar skies.|أضواء ملونة راقصة في سماء القطب.
Renaissance|Era when art and science were reborn in Europe.|عصر انبعاث الفن والعلم في أوروبا.
Colony|Land ruled by a faraway country.|أرض تحكمها دولة بعيدة.
Monarchy|Rule by a king or queen.|حكم الملك أو الملكة.
Republic|Country ruled by an elected president.|دولة يحكمها رئيس منتخب.
Democracy|The people choose their rulers by voting.|الشعب يختار حكامه بالتصويت.
Caliphate|Islamic rule after the Prophet.|الحكم الإسلامي بعد النبي.
Sultanate|Country ruled by a sultan, like Oman.|دولة يحكمها سلطان مثل عمان.
Artifact|Old object made by ancient people.|قطعة قديمة صنعها الأقدمون.
Relic|Precious remains from the distant past.|أثر ثمين من الماضي البعيد.
Excavation|Digging carefully to find ancient things.|الحفر بعناية للعثور على الآثار.
Papyrus|Paper of ancient Egypt made from a plant.|ورق مصر القديمة المصنوع من نبات.
Scroll|Long rolled paper with old writing.|ورقة طويلة ملفوفة بكتابة قديمة.
Tomb|Where an important person was buried.|حيث دفن شخص مهم.
Sarcophagus|Decorated stone coffin of the pharaohs.|تابوت حجري مزخرف للفراعنة.
Citadel|Strong fortress protecting the old city.|قلعة حصينة تحمي المدينة القديمة.
Chariot|Two-wheeled cart pulled by horses in ancient wars.|عربة بعجلتين تجرها الخيول في حروب القدماء.
Catapult|Ancient machine throwing stones at castle walls.|آلة قديمة ترمي الحجارة على أسوار القلاع.
Gladiator|Fighter in the arenas of ancient Rome.|مقاتل في حلبات روما القديمة.
Pharaoh|Ruler of ancient Egypt.|حاكم مصر القديمة.
Inscription|Words carved in stone long ago.|كلمات نقشت في الحجر قديما.
Anthropologist|Scientist studying human cultures and origins.|عالم يدرس ثقافات البشر وأصولهم.
Biologist|Scientist studying living things.|عالم يدرس الكائنات الحية.
Chemist|Scientist mixing substances in the lab.|عالم يمزج المواد في المختبر.
Physicist|Scientist studying energy, motion and matter.|عالم يدرس الطاقة والحركة والمادة.
Economist|Expert in money, markets and trade.|خبير في المال والأسواق والتجارة.
Psychologist|Studies the mind and helps with feelings.|يدرس العقل ويساعد في المشاعر.
Veterinarian|Doctor for sick animals.|طبيب الحيوانات المريضة.
Optician|Fits your glasses to your eyes.|يجهز النظارات المناسبة لعينيك.
Notary|Official who stamps important documents.|موظف رسمي يوثق الوثائق المهمة.
Auditor|Checks company accounts for mistakes.|يدقق حسابات الشركات بحثا عن الأخطاء.
Diplomat|Represents his country in talks abroad.|يمثل بلاده في المحادثات الخارجية.
Curator|Cares for the treasures of a museum.|يعتني بكنوز المتحف.
Meteorologist|Predicts tomorrow's weather.|يتنبأ بطقس الغد.
Interpreter|Translates spoken words live between people.|يترجم الكلام فوريا بين المتحدثين.
Neurologist|Doctor of the brain and nerves.|طبيب الدماغ والأعصاب.
Wildfire|Huge fire spreading through the forest.|حريق هائل ينتشر في الغابة.
Landslide|When a hillside of earth collapses down.|انهيار جانب التل من التراب.
Whirlpool|Spinning water that pulls things down.|ماء دوار يسحب الأشياء نحو الأسفل.
Geyser|Hot water shooting up from the ground.|ماء حار ينبثق من الأرض إلى الأعلى.
Monsoon|Season of heavy rains in Asia.|موسم الأمطار الغزيرة في آسيا.
Blizzard|Violent snow storm you cannot see through.|عاصفة ثلجية عنيفة تحجب الرؤية.
Sandstorm|Wall of sand blowing through the desert.|جدار من الرمل يهب في الصحراء.
Mirage|Fake water you see far away in the desert.|ماء وهمي يظهر بعيدا في الصحراء.
Pollination|How bees help flowers make seeds.|كيف يساعد النحل الأزهار على تكوين البذور.
Germination|When the seed wakes up and starts growing.|عندما تستيقظ البذرة وتبدأ النمو.
Sediment|Sand and mud settling at the river bottom.|رمل وطين يترسب في قاع النهر.
Mineral|Natural substance mined from the earth.|مادة طبيعية تستخرج من الأرض.
Ore|Rock containing precious metal inside.|صخر يحوي معدنا ثمينا بداخله.
Quartz|Very common hard crystal in rocks and watches.|بلورة صلبة شائعة في الصخور والساعات.
Granite|Very hard speckled stone used for kitchen counters.|حجر صلب منقط تصنع منه أسطح المطابخ.
Municipality|The office running the city's services.|الإدارة التي تسير خدمات المدينة.
Infrastructure|Roads, bridges, water and power of a country.|طرق البلاد وجسورها ومياهها وكهرباؤها.
Sewer|Underground pipes carrying dirty water away.|أنابيب تحت الأرض تصرف المياه الوسخة.
Boulevard|Wide elegant street lined with trees.|شارع عريض أنيق تصطف فيه الأشجار.
Roundabout|Circle where cars turn instead of crossing.|دائرة تلتف حولها السيارات بدل التقاطع.
Overpass|Bridge carrying one road above another.|جسر يحمل طريقا فوق آخر.
Underpass|Road passing under another road.|طريق يمر تحت طريق آخر.
Landfill|Where the city buries its garbage.|حيث تدفن المدينة نفاياتها.
Reservoir|Huge tank storing the city's water.|خزان ضخم يحفظ ماء المدينة.
Amphitheater|Round open theater of the Romans.|مسرح دائري مكشوف من عهد الرومان.
Opera|Grand show where the story is sung.|عرض فخم تغنى فيه القصة.
Sonata|Classical piece for one or two instruments.|مقطوعة كلاسيكية لآلة أو آلتين.
Lyrics|The words of a song.|كلمات الأغنية.
Harmony|Different notes sounding beautiful together.|نغمات مختلفة تتناغم معا بجمال.
Octave|Eight notes from do to the next do.|ثماني نغمات من دو إلى دو التالية.
Chord|Several notes played at the same time.|عدة نغمات تعزف في اللحظة نفسها.
Metronome|Ticking device keeping musicians in time.|جهاز يتكتك ليضبط إيقاع العازفين.
Composer|Writes the music others perform.|يؤلف الموسيقى التي يعزفها الآخرون.
Prophet|Man sent by God with a message.|رجل أرسله الله برسالة.
Revelation|God's words sent down to a prophet.|كلام الله المنزل على نبي.
Fasting|Not eating or drinking from dawn to sunset.|الامتناع عن الأكل والشرب من الفجر إلى المغرب.
Charity|Money given to the poor as a duty.|مال يعطى للفقراء كواجب.
Prayer|Worship performed five times a day.|عبادة تؤدى خمس مرات في اليوم.
Paradise|The beautiful reward of good people after death.|جزاء الصالحين الجميل بعد الموت.
Soul|The invisible part of you that lives.|الجزء غير المرئي الحي فينا.
Tournament|Big competition with many teams.|منافسة كبيرة بفرق كثيرة.
League|Season-long championship between clubs.|بطولة تمتد موسما كاملا بين الأندية.
Penalty|Free shot at goal after a foul in the box.|ركلة حرة نحو المرمى بعد خطأ في المنطقة.
Javelin|Long spear athletes throw as far as they can.|رمح طويل يرميه الرياضي لأبعد مسافة.
Discus|Heavy disc spun and thrown by athletes.|قرص ثقيل يدور ويرميه الرياضي.
Fencing|Sword-fighting sport with masks.|رياضة مبارزة بالسيوف مع أقنعة.
Rowing|Moving a boat with oars as a sport.|تحريك القارب بالمجاديف كرياضة.
Weightlifting|Sport of raising heavy iron above the head.|رياضة رفع الحديد الثقيل فوق الرأس.
Saffron|The most expensive spice, red threads.|أغلى بهار في العالم، خيوط حمراء.
Turmeric|Yellow spice coloring rice and curry.|بهار أصفر يلون الأرز والكاري.
Cardamom|Fragrant pods added to Arabic coffee.|حبوب عطرية تضاف إلى القهوة العربية.
Molasses|Thick dark sweet syrup from dates or grapes.|سائل حلو كثيف داكن من التمر أو العنب.
Barley|Grain like wheat, used in soups and bread.|حبوب كالقمح تستخدم في الحساء والخبز.
Turban|Cloth wrapped around the head.|قماش يلف حول الرأس.
Cloak|Long loose cover worn over the clothes.|غطاء طويل فضفاض يلبس فوق الثياب.
Robe|Long flowing garment covering the body.|ثوب طويل منسدل يغطي الجسم.
Embroidery|Decorating cloth with colored thread designs.|تزيين القماش برسوم من خيوط ملونة.
Locomotive|The engine pulling the whole train.|القاطرة التي تجر القطار كله.
Carriage|One car of the train where people sit.|عربة واحدة من القطار يجلس فيها الناس.
Runway|Long strip where planes land and take off.|شريط طويل تهبط عليه الطائرات وتقلع.
Cockpit|The front room where the pilot sits.|الغرفة الأمامية حيث يجلس الطيار.
Propeller|Spinning blades pushing a plane or boat.|شفرات دوارة تدفع الطائرة أو القارب.
Rudder|The back fin steering a ship or plane.|الزعنفة الخلفية التي توجه السفينة أو الطائرة.
Lighthouse|Tall tower with light guiding ships at night.|برج عالٍ بضوء يرشد السفن ليلا.
Dashboard|The panel of gauges in front of the driver.|لوحة المؤشرات أمام السائق.
Villa|Big fancy house with a garden.|بيت كبير فخم له حديقة.
Apartment|Home inside a building with other homes.|مسكن داخل عمارة فيها مساكن أخرى.
Living room|Where the family sits and watches TV.|حيث تجلس العائلة وتشاهد التلفاز.
Dining room|The room where meals are eaten.|الغرفة التي تؤكل فيها الوجبات.
Corridor|Long passage connecting the rooms.|ممر طويل يصل بين الغرف.
Doorknob|You turn it to open the door.|نديره لفتح الباب.
Keyhole|The small hole where the key goes.|الثقب الصغير الذي يدخل فيه المفتاح.
Terrace|Open flat space on top of the house.|مساحة مفتوحة مسطحة أعلى البيت.
Yard|Open space around the house.|مساحة مفتوحة حول البيت.
Lawn|Short green grass around the house.|عشب أخضر قصير حول البيت.
Chandelier|Fancy hanging light with many lamps.|إضاءة فاخرة معلقة بمصابيح كثيرة.
Lampshade|The cover softening the lamp's light.|الغطاء الذي يلطف ضوء المصباح.
Fan|Spins to cool the room in summer.|تدور لتبرد الغرفة في الصيف.
Stove|You cook on its fire in the kitchen.|نطبخ على ناره في المطبخ.
Cupboard|Closed shelf where dishes are kept.|خزانة مغلقة تحفظ فيها الصحون.
Pantry|Small room storing food supplies.|غرفة صغيرة تخزن فيها المؤن.
Cushion|Small soft square on the sofa.|وسادة صغيرة ناعمة على الأريكة.
Stool|Small seat without a back.|مقعد صغير بلا ظهر.
Rug|Small carpet for one spot.|سجادة صغيرة لمكان واحد.
Mat|Flat piece you stand or sit on.|قطعة مسطحة نقف أو نجلس عليها.
Doorstep|The step right in front of the door.|الدرجة أمام الباب مباشرة.
Shutter|Wooden cover closing over the window.|غطاء خشبي يغلق على النافذة.
Peephole|Tiny hole to see who is at the door.|ثقب صغير لنرى من على الباب.
Latch|Small bar that keeps the door shut.|قطعة صغيرة تبقي الباب مغلقا.
Padlock|Hanging lock you close on a chain.|قفل معلق يغلق على سلسلة.
Lock|Keeps the door shut, opened by a key.|يبقي الباب مغلقا ويفتح بالمفتاح.
Chain|Metal rings connected together.|حلقات معدنية متصلة ببعضها.
Porch|Covered area at the house entrance.|مساحة مسقوفة عند مدخل البيت.
Shed|Small wooden room for tools in the garden.|غرفة خشبية صغيرة للعدة في الحديقة.
Barn|Big farm building for animals and hay.|مبنى المزرعة الكبير للحيوانات والتبن.
Kennel|The small house of the dog.|البيت الصغير للكلب.
Birdcage|Small cage where pet birds live.|قفص صغير تعيش فيه طيور الزينة.
Cage|Metal box with bars keeping animals inside.|صندوق بقضبان يحبس الحيوانات.
Trash|What you throw away every day.|ما نرميه كل يوم.
Laundry|Dirty clothes waiting to be washed.|الملابس المتسخة التي تنتظر الغسيل.
Stain|Dirty mark on clothes that won't leave.|أثر وسخ على الثياب لا يزول بسهولة.
Dirt|What makes things unclean.|ما يجعل الأشياء غير نظيفة.
Dustpan|You sweep the dirt into it.|نكنس الأوساخ إليها.
Mop|Wet cleaning stick for the floor.|عصا تنظيف مبللة للأرضية.
Rag|Old piece of cloth for cleaning.|قطعة قماش قديمة للتنظيف.
Duster|Removes dust from furniture.|تزيل الغبار عن الأثاث.
Polish|Makes shoes and wood shiny.|يجعل الأحذية والخشب لامعة.
Tape|Sticky strip that holds things together.|شريط لاصق يثبت الأشياء.
String|Thin cord for tying small things.|خيط رفيع لربط الأشياء الصغيرة.
Candlestick|Holder that keeps the candle standing.|حامل يبقي الشمعة واقفة.
Matches|Small sticks that make fire when scratched.|أعواد صغيرة تشعل النار عند الحك.
Lighter|Small tool making a flame with one click.|أداة صغيرة تشعل لهبا بضغطة.
Can|Metal container of food or drink.|وعاء معدني للطعام أو الشراب.
Carton|Cardboard box for milk or eggs.|علبة كرتونية للحليب أو البيض.
Package|Wrapped box delivered to your door.|صندوق مغلف يصل إلى بابك.
Pin|Tiny sharp metal that holds cloth.|معدن دقيق حاد يثبت القماش.
Safety pin|Closed pin that doesn't prick you.|دبوس مغلق لا يخزك.
Ribbon|Colorful strip tied on gifts and hair.|شريط ملون يربط على الهدايا والشعر.
Toy|Children play with it.|يلعب به الأطفال.
Doll|Toy that looks like a small person.|لعبة تشبه إنسانا صغيرا.
Teddy bear|Soft stuffed animal children hug at night.|دمية محشوة ناعمة يعانقها الأطفال ليلا.
Balloon|You blow it up, it floats and pops.|ننفخه فيطفو وقد ينفجر.
Puzzle|Pieces you fit together to make a picture.|قطع نركبها معا لتكوين صورة.
Dice|Cube with dots you throw in games.|مكعب بنقاط نرميه في الألعاب.
Marbles|Small glass balls children play with.|كرات زجاجية صغيرة يلعب بها الأطفال.
Swing|Playground seat that goes back and forth.|مقعد الملعب يتأرجح ذهابا وإيابا.
Slide|Children climb up and slip down it.|يصعده الأطفال وينزلقون عليه.
Hamper|Basket where dirty clothes wait.|سلة تنتظر فيها الملابس المتسخة.
Drain|The hole where water leaves the sink.|الفتحة التي يخرج منها ماء الحوض.
Tile|Square pieces covering the bathroom walls.|قطع مربعة تغطي جدران الحمام.
Brick|Red block used to build walls.|كتلة حمراء تبنى بها الجدران.
Cement|Grey powder that hardens buildings together.|مسحوق رمادي يشد البناء ويتصلب.
Paint|Liquid color for the walls.|لون سائل للجدران.
Wallpaper|Decorated paper covering walls instead of paint.|ورق مزخرف يغطي الجدران بدل الطلاء.
Railing|You hold it while going down the stairs.|نمسك به عند نزول الدرج.
Safe|Strong metal box protecting money and gold.|صندوق حديدي قوي يحمي المال والذهب.
Razor|Sharp tool for shaving.|أداة حادة للحلاقة.
Shampoo|Liquid soap for washing hair.|صابون سائل لغسل الشعر.
Perfume|Liquid with a beautiful smell you spray.|سائل برائحة جميلة نرشه.
Deodorant|You put it under your arms against sweat smell.|يوضع تحت الإبطين ضد رائحة العرق.
Tissue|Soft paper for wiping your nose.|ورقة ناعمة لمسح الأنف.
Hairbrush|Wide brush for untangling hair.|فرشاة عريضة لفك تشابك الشعر.
Hairdryer|Blows hot air to dry wet hair.|ينفخ هواء ساخنا لتجفيف الشعر.
Lotion|Cream that softens dry skin.|كريم يرطب البشرة الجافة.
Toothpaste|You squeeze it onto the brush for your teeth.|نعصره على الفرشاة لتنظيف الأسنان.
Breakfast|The first meal of the day.|أول وجبة في اليوم.
Lunch|The midday meal.|وجبة منتصف النهار.
Dinner|The evening meal.|وجبة المساء.
Meal|Food eaten at one time.|طعام يؤكل في وقت واحد.
Snack|Small quick food between meals.|أكل خفيف سريع بين الوجبات.
Dessert|The sweet dish after the meal.|الطبق الحلو بعد الوجبة.
Candy|Small sweet treats kids buy.|حلويات صغيرة يشتريها الأطفال.
Lollipop|Candy on a stick you lick.|حلوى على عود تلعق.
Chewing gum|You chew it but never swallow it.|نمضغها ولا نبلعها أبدا.
Cookie|Small flat sweet baked circle.|قرص حلو صغير مخبوز.
Toast|Bread made crispy with heat.|خبز محمص بالحرارة حتى يقرمش.
Bun|Small round soft bread.|خبزة صغيرة مستديرة طرية.
Cereal|Crunchy flakes eaten with milk in the morning.|رقائق مقرمشة تؤكل مع الحليب صباحا.
Porridge|Warm soft breakfast of cooked oats.|فطور دافئ طري من الشوفان المطبوخ.
Popcorn|Corn that pops open, eaten at the cinema.|ذرة تنفجر وتؤكل في السينما.
Chips|Thin crispy salty potato slices in a bag.|شرائح بطاطس رقيقة مقرمشة مملحة في كيس.
Fries|Long fried potato sticks with ketchup.|أصابع بطاطس مقلية مع الكاتشب.
Burger|Grilled meat inside a round bun.|لحم مشوي داخل خبزة مستديرة.
Hotdog|Sausage inside a long bun.|نقانق داخل خبزة طويلة.
Shawarma|Meat sliced from a turning skewer in bread.|لحم يقطع من سيخ دوار في خبز.
Falafel|Fried green balls of chickpeas.|كرات خضراء مقلية من الحمص.
Hummus|Mashed chickpea dip with olive oil.|غموس مهروس من الحمص بزيت الزيتون.
Kebab|Grilled meat on skewers.|لحم مشوي على أسياخ.
Kofta|Minced spiced meat grilled on sticks.|لحم مفروم متبل يشوى على أعواد.
Tagine|Slow-cooked dish in a cone-shaped pot.|طبق يطهى ببطء في إناء مخروطي.
Sushi|Japanese rolls of rice and raw fish.|لفائف يابانية من الأرز والسمك النيء.
Taco|Mexican folded shell filled with meat.|خبزة مكسيكية مطوية محشوة باللحم.
Spaghetti|Long thin pasta with tomato sauce.|معكرونة طويلة رفيعة بصلصة الطماطم.
Lasagna|Layered pasta baked with cheese and meat.|طبقات معكرونة تخبز بالجبن واللحم.
Steak|Thick piece of grilled beef.|قطعة سميكة من لحم البقر المشوي.
Lamb|Meat of a young sheep.|لحم الخروف الصغير.
Beef|Meat that comes from cows.|اللحم الذي يأتي من البقر.
Liver|Organ meat fried with onions.|لحم عضو يقلى مع البصل.
Crepe|Very thin folded pancake with filling.|فطيرة رقيقة جدا تطوى مع حشوة.
Baklava|Layered sweet pastry with nuts and syrup.|حلوى بطبقات رقيقة بالمكسرات والقطر.
Kunafa|Golden shredded dessert with cheese and syrup.|حلوى ذهبية بخيوط رفيعة بالجبن والقطر.
Halva|Dense sweet block made from sesame.|حلوى كثيفة تصنع من السمسم.
Cupcake|Small cake in its own paper cup.|كعكة صغيرة في كأس ورقي خاص.
Marshmallow|Soft white candy roasted over fire.|حلوى بيضاء إسفنجية تشوى على النار.
Caramel|Melted sugar turned golden and chewy.|سكر مذاب أصبح ذهبيا ولزجا.
Vanilla|The most famous flavor of ice cream, white.|أشهر نكهة للمثلجات ولونها أبيض.
Lemonade|Cold drink of squeezed sour fruit and sugar.|شراب بارد من الحامض المعصور والسكر.
Smoothie|Fruits blended into a thick cold drink.|فواكه تخلط لتصبح شرابا باردا كثيفا.
Milkshake|Milk blended with ice cream.|حليب مخفوق مع المثلجات.
Cocoa|Hot chocolate drink for winter.|مشروب الشوكولاتة الساخن للشتاء.
Espresso|Very small very strong coffee.|قهوة صغيرة جدا ومركزة جدا.
Cappuccino|Coffee topped with milk foam.|قهوة تعلوها رغوة الحليب.
Soda|Fizzy sweet drink with bubbles.|شراب حلو غازي بفقاعات.
Sage|Grey-green herb for tea and cooking.|عشبة رمادية خضراء للشاي والطبخ.
Anise|Seeds making a sweet calming tea.|بذور تصنع شايا مهدئا حلو الطعم.
Chamomile|Flower tea that helps you sleep.|شاي زهور يساعد على النوم.
Hibiscus|Dark red flower drink, hot or cold.|شراب أحمر داكن من زهرة يشرب ساخنا أو باردا.
Fenugreek|Bitter yellow seeds used in bread and medicine.|بذور صفراء مرة تستخدم في الخبز والدواء.
Bay leaf|Dry leaf dropped whole into stews.|ورقة جافة تلقى كاملة في اليخنة.
Yeast|Makes the dough rise and puff.|تجعل العجين ينتفخ ويرتفع.
Starch|White powder thickening sauces.|مسحوق أبيض يكثف الصلصات.
Bran|The healthy outer shell of wheat.|القشرة الخارجية الصحية للقمح.
Millet|Tiny round grains, food for people and birds.|حبوب صغيرة مستديرة طعام للناس والعصافير.
Bulgur|Cracked wheat used in tabbouleh.|قمح مجروش يستخدم في التبولة.
Ghee|Pure butter fat used in cooking and sweets.|دهن الزبدة الصافي للطبخ والحلويات.
Tahini|Paste of ground sesame, used with falafel.|عجينة السمسم المطحون تؤكل مع الفلافل.
Spice|What gives food its flavor and smell.|ما يعطي الطعام نكهته ورائحته.
Recipe|Steps for cooking a dish.|خطوات تحضير طبق.
Menu|The list of dishes in a restaurant.|قائمة الأطباق في المطعم.
Ice cube|Small frozen block cooling your drink.|مكعب متجمد صغير يبرد الشراب.
Slice|One flat cut piece of bread or cake.|قطعة واحدة مقطوعة من الخبز أو الكعك.
Loaf|One whole baked bread.|خبزة كاملة واحدة.
Crust|The hard outer edge of bread.|الحافة الخارجية القاسية من الخبز.
Crumb|Tiny piece falling from bread.|فتة صغيرة تتساقط من الخبز.
Filling|What is stuffed inside a pie or sandwich.|ما يحشى داخل الفطيرة أو الشطيرة.
Sauce|Liquid poured over food for taste.|سائل يسكب على الطعام للنكهة.
Peanut butter|Brown sticky spread made of ground nuts.|دهن بني لزج من الفول المطحون.
Melon|Sweet round fruit with orange flesh.|فاكهة مستديرة حلوة لبها برتقالي.
Sweet potato|Orange root vegetable, sweeter than the normal one.|خضار جذري برتقالي أحلى من العادي.
Grape leaves|Rolled and stuffed with rice, a famous dish.|تلف وتحشى بالأرز، طبق مشهور.
Vegetables|Healthy green things mothers make you eat.|الأشياء الخضراء الصحية التي تجبرنا أمهاتنا على أكلها.
Nuts|Crunchy seeds served at gatherings.|بذور مقرمشة تقدم في الجلسات.
Sugarcane|Tall sweet stick pressed for juice.|عود طويل حلو يعصر شرابا.
Molokhia|Green leafy soup eaten with rice and chicken.|شوربة ورقية خضراء تؤكل مع الأرز والدجاج.
Basbousa|Sweet semolina cake soaked in syrup.|حلوى من السميد مشربة بالقطر.
Puppy|A baby dog.|صغير الكلب.
Kitten|A baby cat.|صغير القطة.
Foal|A baby horse.|صغير الحصان.
Cub|A baby lion or bear.|صغير الأسد أو الدب.
Chick|A baby chicken, small and yellow.|صغير الدجاجة، أصفر وصغير.
Hen|The female chicken that lays eggs.|أنثى الدجاج التي تبيض.
Pony|A small short horse children ride.|حصان قصير صغير يركبه الأطفال.
Mule|Half horse half donkey, carries loads.|نصف حصان ونصف حمار يحمل الأثقال.
Mare|A female horse.|أنثى الحصان.
Ram|The male sheep with curved horns.|ذكر الخروف بقرون ملتوية.
Ewe|The female sheep.|أنثى الخروف.
Llama|South American animal like a small camel with wool.|حيوان أمريكي جنوبي كجمل صغير بصوف.
Reindeer|Northern deer that pulls Santa's sled.|أيل الشمال الذي يجر زلاجة بابا نويل.
Polar bear|White bear living on the ice.|دب أبيض يعيش على الجليد.
Walrus|Big sea animal with two long tusks.|حيوان بحري ضخم بنابين طويلين.
Sea lion|Sea animal that claps and balances balls.|حيوان بحري يصفق ويوازن الكرات.
Alligator|Big water reptile with huge jaws, like a crocodile.|زاحف مائي ضخم بفكين هائلين يشبه التمساح.
Dinosaur|Giant animal that lived millions of years ago.|حيوان عملاق عاش قبل ملايين السنين.
Dragon|Legendary flying creature that breathes fire.|كائن خرافي طائر ينفث النار.
Unicorn|Magical horse with one horn on its head.|حصان سحري بقرن واحد على رأسه.
Mermaid|Legendary sea creature, half woman half fish.|كائن بحري خرافي نصفه امرأة ونصفه سمكة.
Goldfish|Small orange pet fish in a bowl.|سمكة زينة برتقالية صغيرة في حوض.
Robin|Small bird with a red chest.|عصفور صغير بصدر أحمر.
Rat|Bigger than a mouse, lives in sewers.|أكبر من الفأر ويعيش في المجاري.
Flea|Tiny jumping insect living on animals.|حشرة قافزة دقيقة تعيش على الحيوانات.
Locust|Insect that comes in swarms and eats crops.|حشرة تأتي أسرابا وتأكل المحاصيل.
Cicada|Insect singing loudly in summer trees.|حشرة تغني بصوت عالٍ في أشجار الصيف.
Mantis|Green insect standing like it's praying.|حشرة خضراء تقف كأنها تصلي.
Dove|White gentle bird of peace.|طائر أبيض وديع رمز السلام.
Hoopoe|Bird with a crown of feathers, in Quran stories.|طائر بتاج من الريش ورد في قصص القرآن.
Kingfisher|Colorful bird diving to catch fish.|طائر ملون يغطس ليصطاد السمك.
Cuckoo|Bird famous for the clock named after it.|طائر اشتهرت به الساعة المسماة باسمه.
Toad|Like a frog but dry and bumpy.|يشبه الضفدع لكنه جاف ومحبب.
Herd|Big group of cows or sheep together.|مجموعة كبيرة من البقر أو الغنم معا.
Flock|Group of birds flying together.|مجموعة طيور تطير معا.
Nest|The home birds build for their eggs.|البيت الذي يبنيه الطائر لبيضه.
Beehive|The house where bees make honey.|البيت الذي يصنع فيه النحل العسل.
Cobweb|The sticky net a spider weaves.|الشبكة اللزجة التي ينسجها العنكبوت.
Feather|Light soft piece covering a bird's body.|قطعة خفيفة ناعمة تغطي جسم الطائر.
Fur|The soft hair covering animals.|الشعر الناعم الذي يغطي الحيوانات.
Paw|The foot of a cat or dog.|قدم القطة أو الكلب.
Claw|The sharp nail of a cat or eagle.|الظفر الحاد للقط أو النسر.
Tail|Behind the animal, dogs wag it when happy.|خلف الحيوان ويهزه الكلب عند الفرح.
Antler|The branching horn of a deer.|القرن المتفرع للأيل.
Hoof|The hard foot of a horse.|القدم الصلبة للحصان.
Beak|The hard mouth of a bird.|الفم الصلب للطائر.
Wing|What birds fly with, they have two.|ما يطير به الطائر ولديه اثنان.
Fin|What fish swim with.|ما تسبح به السمكة.
Scales|The small hard plates covering fish skin.|الصفائح الصلبة الصغيرة على جلد السمك.
Shell|The hard cover of a snail or turtle.|الغطاء الصلب للحلزون أو السلحفاة.
Earth|The planet we all live on.|الكوكب الذي نعيش عليه جميعا.
World|All countries and people together.|كل البلدان والناس معا.
Land|The dry part of the Earth, not the sea.|الجزء اليابس من الأرض وليس البحر.
Ocean|Water bigger than any sea.|ماء أوسع من أي بحر.
Air|What we breathe, invisible around us.|ما نتنفسه وهو غير مرئي حولنا.
